대분류,상호명,업종,도로명 주소,구주소,영업여부
일반음식점,백소정 인하대후문점,일식,"인천광역시 미추홀구 인하로 73-1, 1층 일부호 (용현동)",인천광역시 미추홀구 용현동 191-4,영업/정상
일반음식점,하하돈면,기타,"인천광역시 미추홀구 인하로67번길 6-23, 2층 (용현동)",인천광역시 미추홀구 용현동 191-94,영업/정상
일반음식점,밥줄까 술주까,한식,"인천광역시 미추홀구 인하로 152, 1층 좌측호 (용현동)",인천광역시 미추홀구 용현동 39-26 1충동 좌측호,영업/정상
일반음식점,셰프하우스,한식,인천광역시 미추홀구 인하로77번길 26 (용현동),인천광역시 미추홀구 용현동 181-17번지,영업/정상
일반음식점,육쌈냉면,분식,인천광역시 미추홀구 인하로 55-1 (용현동),인천광역시 미추홀구 용현동 199-4,영업/정상
일반음식점,고마워감자탕,한식,인천광역시 미추홀구 인하로119번길 7 (용현동),인천광역시 미추홀구 용현동 92-37번지,영업/정상
일반음식점,천지인,호프/통닭,"인천광역시 미추홀구 인하로77번길 22 (용현동,(2층))",인천광역시 미추홀구 용현동 182-1 (2층),영업/정상
일반음식점,김충기 꽃삼겹,한식,"인천광역시 미추홀구 인하로119번길 43, 102호 (용현동)",인천광역시 미추홀구 용현동 96-8번지,영업/정상
일반음식점,KFC인하대점,기타,인천광역시 미추홀구 인하로77번길 8 (용현동),인천광역시 미추홀구 용현동 188-19,영업/정상
일반음식점,BHC치킨 인하대점,호프/통닭,"인천광역시 미추홀구 인하로147번길 21, 3동 102호 (용현동, 대신아트빌라)",인천광역시 미추홀구 용현동 52-19 대신아트빌라,영업/정상
일반음식점,미연팔복반점,중국식,"인천광역시 미추홀구 인하로105번길 27, 1층 (용현동)",인천광역시 미추홀구 용현동 184-1번지,영업/정상
일반음식점,덮수룩,한식,"인천광역시 미추홀구 인하로 115-4, 102호 (용현동)",인천광역시 미추홀구 용현동 92-25,영업/정상
일반음식점,화채한박스 인하대점,기타,"인천광역시 미추홀구 인하로133번길 30, 1층 2호 (용현동)",인천광역시 미추홀구 용현동 66-28,영업/정상
일반음식점,카페밥엔술,기타,"인천광역시 미추홀구 인하로91번길 4, 연꽃마을 1층 일부호 (용현동)",인천광역시 미추홀구 용현동 187-13 연꽃마을,영업/정상
일반음식점,카페밥엔술,기타,"인천광역시 미추홀구 인하로91번길 4, 연꽃마을 2층 (용현동)",인천광역시 미추홀구 용현동 187-13 연꽃마을,영업/정상
일반음식점,위플라,기타,"인천광역시 미추홀구 인하로91번길 9, 1층 (용현동)",인천광역시 미추홀구 용현동 188-1,영업/정상
일반음식점,셔호나,"외국음식전문점(인도,태국등)","인천광역시 미추홀구 인하로 99, 1층 일부호 (용현동)",인천광역시 미추홀구 용현동 187-20,영업/정상
